customer_id,age_group,residence_area_code,weight_lb,height_inchess
141833,F ,F ,177.584593641,67.7235037278
1376753,E ,E ,199.391790725,66.781225796
1603071,E ,G ,198.898501847,73.1442118269
1738667,E ,F ,240.695857011,61.559766103
2141497,A ,B ,192.286504786,62.2398037234
1868685,J ,E ,273.835258893,68.3693690469
1101270,D ,C ,158.394637938,58.5242964411
1754698,H ,A ,123.870154897,66.5036197039
1027365,F ,C ,192.065844535,62.4675227266
956710,E ,E ,183.486959327,49.3228549005
477796,E ,H ,210.023086392,63.8250525338
1267471,C ,F ,156.58863505,74.3870880145
904391,F ,E ,263.623830111,67.5579566912
848602,A ,F ,209.677142563,69.6741047651
952521,D ,F ,150.057197943,63.02551961
582346,I ,E ,201.176341025,68.0525534044
102100,E ,E ,176.799371876,61.4118759489
1383744,E ,H ,213.226709865,70.3642665547
1962277,B ,F ,159.954485324,53.6387987212
883665,D ,F ,247.726844109,57.7145154985
2050140,B ,F ,175.368871901,65.3957039775
2140964,B ,F ,166.114146137,75.7061226858
1905168,A ,E ,231.884159034,63.1385766226
960434,K ,E ,199.887899737,62.8623960276
1911732,G ,E ,169.62041212,64.7229547993
2068718,H ,E ,187.049684867,72.2389899637
418287,F ,A ,235.216834764,72.1651912033
557818,H ,E ,204.601389133,65.2381692215
1098143,D ,E ,268.576079804,62.5748890123
2039985,B ,G ,213.750352235,63.4202918012
353342,F ,F ,216.129370252,63.8879147645
1073416,D ,E ,189.5091363,60.6332206123
1651560,C ,F ,177.831658294,68.7755450641
2093970,B ,C ,185.851049056,69.9117200395
1400083,J ,E ,210.172207116,65.0776837442
574655,G ,E ,153.077437967,67.102390503
1117042,G ,E ,174.992489418,76.0816388147
495301,D ,F ,215.679069963,61.3864653337
1183931,G ,F ,134.952199152,69.2632562703
1492309,G ,E ,165.625067002,71.3116529285
1885705,F ,C ,206.891972807,73.1039201525
1995640,C ,G ,208.593828335,66.1912582574
2110622,B ,F ,199.030151095,66.8607016192
1584318,D ,E ,122.52746556,72.9388010436
1390933,H ,H ,204.178278317,76.1905187515
2023939,A ,H ,181.823666336,64.0168922339
1767322,G ,D ,178.917851141,67.2913778288
1803457,B ,G ,249.371111473,70.6803496218
1878981,F ,G ,164.524786153,59.5729992038
1905953,E ,F ,175.833673774,69.3990956493
2040561,A ,E ,149.879292248,63.2072138105
1474220,D ,B ,287.203161399,63.4293361522
1575774,C ,E ,219.928373936,65.6787814036
2004563,E ,E ,212.500122676,58.5931427844
2102092,D ,F ,206.380633166,65.4027622127
1899474,C ,E ,197.985635957,81.0727253816
1659856,E ,C ,169.912380417,60.7803149971
1890662,A ,E ,259.647888177,66.971755663
1895575,D ,C ,188.679864298,67.4008804892
1615661,E ,E ,157.253395121,67.1675326301
1862829,D ,C ,158.854554658,66.6133580776
1633320,E ,F ,216.211437488,60.8204593459
1950106,F ,F ,227.176193096,59.5314581043
2107134,B ,E ,254.346824596,67.0992022302
914840,F ,G ,217.861029707,60.9569252962
1667479,F ,E ,189.835110666,64.1701800532
1658385,D ,C ,217.74782378,74.365066451
992725,K ,H ,241.846729553,59.7391771085
2125046,B ,F ,164.437914888,68.3533628357
2171784,J ,C ,238.517859122,64.9121198799
1826975,E ,D ,245.358267107,66.4031750032
1411492,K ,H ,232.729114153,63.4796306523
2134635,C ,H ,187.179139826,63.1905668398
2125121,F ,F ,208.843233311,63.3759315378
1637755,G ,H ,184.731537547,80.4745233378
1972184,D ,E ,205.026449884,68.7575234832
2107615,F ,E ,158.19293903,72.1786135353
2012544,C ,A ,162.696668252,65.8193561206
2032214,B ,E ,189.668601189,67.4911970603
1771053,F ,E ,212.8902774,67.5137784459
2042145,E ,E ,164.079959843,62.457165368
1765557,B ,E ,183.670904976,60.7667909057
1539042,E ,E ,194.210711824,66.9666068241
1746587,D ,D ,175.908425343,72.233017945
1727241,D ,D ,192.557961522,57.4135216557
2024141,F ,D ,166.767406552,71.8630136167
2023854,C ,E ,203.403664354,65.7198398904
1299519,D ,E ,142.309062606,64.728249229
1561517,C ,C ,239.659288176,64.1421843692
2047409,C ,E ,195.134854952,68.2493577837
2051529,D ,C ,220.234180566,73.682492971
1909258,E ,E ,194.551008033,61.2450242914
1868234,D ,H ,260.996209933,59.974681269
1786439,G ,H ,142.582899387,62.5933837371
2171845,D ,G ,175.858262221,68.6686045924
2171777,D ,H ,222.53760267,62.1791000792
1732023,F ,F ,222.504581739,69.6084796632
1747270,C ,H ,213.398652079,70.504968932
2005935,C ,F ,232.110396473,58.7635433641
1846706,K ,H ,183.986062412,65.6106298768
1970753,B ,F ,253.54994334,63.7823976934
2097084,C ,E ,166.112150174,67.912291652
1895278,C ,F ,215.184679274,62.9127708774
