customer_id,sales_price,transaction_date
1069,290,2001-02-10
1113,628,2001-01-06
1250,849,2001-02-10
1359,364,2000-12-04
1823,433,2001-01-24
2189,4978,2001-01-03
3667,329,2001-02-08
4282,796,2001-01-13
4381,701,2000-11-18
4947,1488,2000-12-10
4961,553,2001-02-05
4978,1194,2001-01-22
5241,315,2001-02-19
5357,368,2001-01-24
5517,2905,2001-02-02
6378,1451,2001-02-14
6668,483,2001-02-24
6989,1522,2001-02-11
7795,1830,2001-02-10
8006,1048,2001-02-22
8198,1248,2001-01-31
9218,715,2001-01-12
10801,424,2001-02-26
11099,111,2001-02-19
11211,607,2000-12-20
11235,1157,2001-02-27
11853,751,2000-12-01
11914,276,2001-02-28
12171,938,2001-02-18
12249,1319,2001-02-23
13062,543,2001-02-06
13697,1838,2001-02-17
14762,2409,2001-02-25
15172,1401,2001-01-22
15424,902,2001-01-18
15974,2475,2001-02-23
16049,794,2000-11-07
16766,26,2001-02-21
16773,243,2000-11-13
16803,1991,2000-11-05
17596,258,2000-12-01
18173,78,2001-02-26
18197,1403,2001-02-26
18319,517,2000-12-22
18333,198,2001-02-27
18364,1043,2000-12-22
18524,268,2000-12-22
18821,1521,2000-11-26
18944,43,2001-02-25
19125,11706,2001-01-29
19200,186,2000-12-24
19484,186,2000-12-23
19514,186,2000-12-23
19545,363,2000-12-23
19750,394,2001-01-31
19866,1401,2001-01-23
19873,2348,2001-02-20
19897,1820,2001-01-13
19903,441,2001-02-06
19941,65,2000-12-05
20077,1176,2001-02-20
20145,141,2001-01-17
20220,1067,2001-02-24
20282,1126,2001-01-27
20428,119,2000-12-03
20459,1106,2001-02-28
20596,275,2001-02-08
20695,278,2001-02-27
20756,899,2000-12-24
20794,2113,2001-02-25
20800,794,2001-02-24
20817,284,2001-01-15
20848,139,2001-02-26
20879,376,2001-02-25
21128,1115,2001-02-16
21203,725,2001-01-14
21234,349,2001-01-30
21265,909,2001-01-06
21357,359,2001-02-11
21432,108,2000-12-06
21449,1219,2001-02-01
21470,965,2001-02-14
21593,985,2001-02-04
21647,346,2001-01-25
21678,1104,2001-02-14
21708,129,2001-01-25
21821,952,2000-12-03
21951,357,2001-02-21
22040,127,2001-01-22
22064,806,2001-02-03
22149,624,2001-02-04
22163,612,2001-02-23
22453,2198,2001-01-07
22514,26,2001-02-23
22590,27,2001-01-04
22729,238,2001-02-24
22736,2016,2001-02-11
22903,30,2000-11-12
22927,119,2001-01-22
22934,1358,2001-02-25
22996,971,2001-02-15
23078,1089,2001-02-28
23146,162,2000-11-12
23160,27,2001-01-04
23177,15,2001-01-26
23207,258,2001-02-23
23245,130,2000-12-21
23351,852,2000-12-07
23467,2065,2001-02-24
23474,88,2001-02-26
23504,476,2000-11-23
23535,494,2000-11-30
23672,481,2001-01-18
23733,1941,2000-12-01
23771,164,2001-02-28
23795,1510,2001-02-24
23801,966,2001-02-27
23863,123,2001-02-23
23917,462,2001-02-06
23931,777,2001-02-28
24105,2331,2001-01-21
24167,1099,2001-01-16
24259,345,2001-02-16
24297,568,2001-02-02
24402,1052,2001-02-10
24440,490,2001-02-14
24488,584,2001-02-12
24501,698,2001-01-28
24518,2579,2001-02-20
24525,427,2001-02-14
24532,343,2001-02-26
24594,690,2000-11-14
24662,2168,2000-12-10
24723,1131,2001-01-06
24730,95,2001-02-06
24860,260,2001-01-29
24907,285,2001-01-19
24914,26,2001-02-23
25058,1273,2001-02-22
25072,26,2001-02-23
25096,336,2001-02-19
25140,917,2001-02-25
25300,145,2000-12-26
25324,454,2001-02-11
25362,1444,2001-01-20
25386,634,2001-02-28
25393,360,2001-01-23
25423,1575,2001-01-18
25454,625,2001-01-27
25515,44,2001-02-20
25539,297,2001-02-17
25553,1817,2001-02-11
25577,13,2001-02-19
25652,229,2001-02-04
25683,305,2001-02-23
25805,563,2001-02-25
25973,1534,2001-02-16
26000,1423,2001-02-24
26031,116,2001-02-27
26062,278,2001-02-26
26123,465,2000-11-26
26192,947,2001-02-17
26260,1852,2001-01-21
26307,1610,2001-01-23
26321,198,2001-02-28
26468,519,2001-02-11
26499,475,2001-02-20
26550,214,2001-02-22
26604,238,2000-11-23
26666,128,2001-01-22
26758,376,2001-02-24
26789,1963,2000-12-16
26925,2767,2001-02-11
27113,566,2001-02-18
27151,402,2001-01-14
27199,175,2001-01-21
27243,915,2001-02-24
27298,759,2001-02-05
27304,250,2001-02-18
27335,160,2001-02-22
27359,564,2001-02-25
27540,1469,2001-02-16
27601,1638,2001-02-14
27632,2652,2000-12-15
27717,345,2001-02-04
27908,2822,2001-02-25
27946,642,2001-02-08
27953,1232,2001-02-07
27984,400,2001-01-21
28127,749,2001-01-08
28516,264,2001-01-04
28547,1431,2001-02-19
28554,1084,2001-02-15
28592,494,2000-11-18
28639,72,2000-11-26
28646,1781,2001-02-28
28653,84,2001-02-21
28714,47,2001-01-23
28721,1968,2001-01-05
28738,899,2001-02-25
28769,1021,2000-12-18
28844,307,2001-01-19
28899,293,2001-02-04
28967,965,2001-01-22
29018,38,2001-02-20
29117,26,2001-02-21
29209,101,2001-02-19
29223,435,2001-01-18
29254,1291,2000-12-09
29377,370,2001-02-28
29421,368,2001-02-28
29599,110,2001-02-24
29865,1213,2001-02-25
29964,801,2001-02-21
30045,1376,2001-02-21
30106,1575,2001-02-25
30267,1094,2001-01-20
30281,454,2001-02-18
30502,796,2001-02-03
30779,18,2000-12-11
30908,368,2001-02-21
30915,1232,2001-02-09
31059,934,2001-01-14
31929,576,2000-11-02
32100,20,2001-02-28
32674,1190,2001-02-25
32827,235,2001-02-26
32896,26,2001-02-21
33091,523,2000-11-02
33107,167,2000-11-09
33169,390,2001-02-19
33268,349,2001-02-22
33510,424,2001-02-08
33527,409,2001-02-23
33749,215,2001-01-29
33770,276,2001-02-26
33831,453,2001-02-19
33862,282,2001-01-15
34258,278,2001-02-03
34302,40,2001-01-28
34395,564,2000-12-24
34401,391,2001-02-10
34845,4410,2000-11-07
35460,1363,2001-02-17
35866,1133,2001-02-05
35996,85,2000-11-02
36016,328,2001-02-12
36139,924,2000-12-15
36450,383,2001-02-22
36658,731,2001-02-24
37815,605,2001-02-24
38317,89,2001-02-12
38355,99,2001-02-14
38386,98,2001-02-24
38744,341,2000-12-17
38751,289,2001-01-27
38782,1516,2001-02-25
38836,288,2001-02-05
38881,685,2001-02-22
38935,313,2000-12-04
39215,114,2001-02-21
39291,1103,2000-12-23
39505,224,2001-01-22
39550,636,2000-11-21
39635,1366,2001-02-27
39642,196,2001-01-30
39765,159,2001-01-24
39802,476,2001-01-06
39932,194,2001-02-24
40068,198,2001-02-28
40129,454,2001-02-16
40150,582,2001-02-28
40181,350,2001-02-27
40198,775,2001-02-26
40242,399,2001-02-19
40266,375,2001-02-28
40372,2068,2001-02-13
40488,185,2001-02-25
40662,1749,2001-02-21
40761,183,2001-02-19
40792,886,2001-02-18
40907,111,2001-02-20
41041,120,2000-11-04
41133,311,2001-02-24
41171,366,2001-02-28
41188,636,2001-02-01
41263,660,2001-02-24
41331,2269,2001-01-22
41584,999,2001-02-10
41607,695,2001-01-13
41638,178,2001-02-03
41690,3816,2000-12-10
41737,2874,2001-02-25
41812,1076,2000-11-22
41829,240,2001-01-02
41898,572,2000-11-23
41928,965,2001-02-18
42017,186,2001-01-30
42048,613,2001-01-20
42093,106,2001-02-22
42208,198,2001-02-28
42307,1368,2001-02-25
42574,3939,2000-12-02
42635,68,2001-02-23
42666,949,2001-02-21
42697,168,2000-12-17
42741,26,2001-02-22
42857,26,2001-02-23
42918,323,2000-12-10
42949,26,2001-02-23
42963,988,2001-02-11
43113,573,2001-02-24
43267,30,2000-11-10
43274,1990,2001-02-03
43328,98,2001-01-06
43342,546,2001-02-26
43359,388,2001-02-25
43472,993,2001-02-27
43502,68,2001-02-12
43748,65,2001-01-16
43816,490,2000-12-01
43830,119,2001-01-20
43854,2424,2001-02-28
43861,1552,2001-02-24
43915,278,2001-02-25
43991,1128,2001-01-02
44073,178,2000-12-21
44356,90,2001-01-08
44363,3743,2001-02-22
44431,650,2001-02-18
44547,2124,2000-12-25
44608,683,2000-12-23
44721,532,2001-02-22
44875,675,2001-01-28
44882,26,2001-02-23
45278,349,2001-02-11
45308,26,2001-02-19
45353,2323,2001-01-19
45377,2364,2001-02-23
45506,139,2001-02-28
45551,2791,2001-02-18
45605,3182,2000-11-23
45674,58,2001-01-31
45704,1688,2001-01-13
45711,74,2001-02-21
45735,119,2001-01-20
45902,518,2001-01-19
45919,72,2000-12-24
45957,799,2001-02-22
45964,119,2001-01-18
45971,748,2001-02-14
45995,233,2001-01-12
46015,664,2001-02-16
46022,154,2000-12-23
46039,779,2001-01-17
46046,164,2001-01-18
46053,30,2000-11-10
46145,1135,2001-02-22
46183,616,2001-01-31
46350,895,2001-02-17
46466,592,2001-02-27
46633,379,2001-01-09
46855,615,2001-02-26
46909,632,2001-01-29
46916,978,2001-02-24
46923,676,2000-11-28
46985,248,2001-01-05
46992,441,2001-02-20
47067,504,2001-02-27
47197,1048,2001-02-18
47241,83,2001-02-21
47319,415,2000-12-22
47340,1961,2001-02-20
47364,1822,2001-02-11
47388,768,2000-12-10
47395,1424,2001-02-18
47487,354,2001-02-18
47531,4983,2000-11-24
47548,389,2001-02-23
47654,1238,2001-01-30
47692,761,2001-02-09
47722,2082,2001-02-17
47784,337,2001-01-23
47814,70,2001-02-22
47951,322,2001-02-06
48019,479,2001-01-23
48057,262,2001-01-20
48064,407,2001-01-28
48101,48,2001-02-20
48149,430,2001-02-22
48217,840,2001-02-27
48224,4133,2001-02-22
48231,1036,2001-02-25
48286,250,2001-02-26
48309,589,2000-11-07
48491,1595,2001-02-24
48590,354,2001-02-26
48668,347,2001-02-21
48866,26,2001-02-21
48910,26,2001-02-21
49047,139,2001-01-29
49061,721,2001-02-24
49108,3960,2001-02-28
49122,1329,2001-02-28
49306,154,2001-01-31
49368,432,2001-02-24
49405,1303,2000-12-24
49597,283,2001-02-23
49627,567,2001-01-13
49641,1259,2001-01-09
49795,684,2001-02-12
50067,720,2001-02-11
50081,184,2001-02-27
50111,936,2001-02-20
50142,919,2000-12-10
50449,108,2001-01-06
50494,855,2001-02-04
50500,279,2001-02-03
50548,1282,2001-01-07
50579,24,2001-02-19
50593,1285,2001-01-14
50715,24,2001-02-19
50807,608,2001-02-23
50821,26,2001-02-19
50852,831,2001-02-05
50920,722,2001-02-24
50951,26,2001-02-21
50968,88,2001-01-13
50982,427,2001-02-28
51040,2471,2000-12-02
51057,2868,2001-01-11
51347,460,2001-02-23
51392,1650,2001-01-26
51590,816,2001-01-07
51781,350,2000-11-26
