product_id,product_class,weight_class,color_code,locally_sourced
4710105011011,130207,8,0,0
4710265849066,110217,2,1,1
4712019100607,100201,2,5,0
4710168702901,530105,9,1,0
4710431339148,320407,5,2,0
4710043552065,110109,7,0,0
4714903310314,730303,2,3,0
4710498601486,560402,5,1,0
9555008600314,530404,8,5,0
4710367208648,500303,8,2,0
50853991,100108,5,1,0
9310022733406,500804,1,5,0
4716782102028,110109,7,2,0
4902430000864,530110,2,4,1
4711220013331,110507,2,2,0
4710198221113,110105,7,2,0
4710218360020,100323,1,2,0
4710105002026,130102,4,1,0
4711553176970,560201,4,2,0
4710734000318,110407,0,2,0
89782016577,100205,5,2,0
4710134023276,110121,5,2,0
4710063121173,110516,4,5,0
4710247006944,100205,7,4,0
4710095370235,110801,7,2,0
4713754987607,100324,7,4,0
4901326030848,100103,5,2,0
4712789000022,110404,2,5,0
4710088502209,130205,9,2,0
20519490,320205,1,1,0
20540098,760402,2,2,0
4714995012561,300103,2,4,0
4710333157871,470207,5,0,0
4712500140129,130306,5,5,0
4712987106649,501001,4,2,1
4710583996008,130106,1,0,0
4710088436542,130103,2,2,0
4710644085627,320108,3,2,0
4710032501791,560204,1,3,0
8850124005748,100414,5,2,0
4715367000292,740807,5,1,1
79763251134,110404,8,5,0
4716086016205,760406,1,3,1
4710998001205,130304,1,2,0
4710589176886,100604,8,5,0
4710363502016,530302,6,4,0
4719090900058,110217,1,5,0
4710252000326,100413,9,1,0
4711629910729,730145,8,1,0
4714020101369,500319,1,4,0
4711791300953,560340,2,2,0
4710032604706,530103,2,1,0
4710363502009,530302,8,4,0
4710011401128,120103,4,0,0
4711080010112,130206,1,4,0
4710498124206,560403,2,1,0
4710320224661,110333,5,2,0
4710008212157,110411,9,5,0
4718433613181,500101,1,4,0
4710088432346,130204,7,0,0
4712814816888,780501,5,3,0
4710147660826,100305,7,2,0
4710757020300,100102,2,0,0
4711254012041,500301,2,0,0
4710011409025,120105,4,0,0
4710109770396,110411,7,5,1
4710105015521,130204,1,4,0
4710311107102,110102,8,4,0
4710008212133,110411,4,1,0
4710171028326,100517,7,2,0
4716114000329,570103,5,2,0
4710126021105,100214,4,5,0
4901088061111,100103,4,1,1
4712031000060,110103,4,0,0
4711713010564,520437,1,1,0
47106710,130101,1,5,0
4710032702204,530104,1,4,0
4710908131534,500201,2,4,0
4713089002105,530301,9,5,0
4710731012130,530205,6,4,1
4710088413383,110410,2,4,0
4710085120628,110411,5,2,0
20087968,760219,4,1,0
37000329169,100312,2,1,1
8712045008539,560402,5,2,1
4710174006390,100304,1,4,0
4711311315207,100319,2,4,0
20200657,320501,2,5,1
4713888600229,760622,7,4,0
5010202190404,100104,5,2,0
4712067899218,100431,5,2,0
4710349065207,100509,8,2,0
4710035363778,100106,2,5,0
4710088433312,130205,7,2,1
4710105010113,130204,5,4,0
4710088620156,110108,1,2,0
4973271480696,520425,4,5,0
20564537,740805,4,5,0
4711119236193,100105,9,3,0
4710011406123,120103,1,4,0
4719581980286,130305,2,0,0
4710857000066,120105,8,2,0
4710094012686,530406,1,2,0
4710543111038,100312,1,3,0
4712278883129,110407,5,5,1
4710339080012,130206,7,5,0
4711785323005,570401,5,0,0
4710054151189,530101,1,5,1
4710126042605,100103,2,4,0
4710063312168,130204,1,5,0
4710174011790,100306,2,3,0
4713045613710,760524,3,2,0
4710036012019,500203,5,5,0
4710109770556,110411,7,5,0
4713888702466,760209,5,1,0
20055400,540201,4,5,1
78895770025,110122,8,4,0
20553296,712102,5,4,0
4710254015632,110605,5,4,0
4711779266059,300107,3,1,0
4710579100198,110411,5,5,0
4710088434678,130204,7,0,1
4710380010433,530110,5,2,0
4710063312212,130204,7,1,0
4710088432322,130207,5,5,0
4711127313237,100206,5,3,0
4710088420596,100515,5,4,1
4711629910040,730208,1,5,0
4710088412201,110411,4,5,0
4710047502066,100207,5,3,0
4710908111116,500202,2,4,0
4711369000018,120115,1,4,0
4710088410382,110401,4,1,0
4710498234202,100403,0,2,1
4901126180606,520102,7,0,0
4710063111228,110515,8,5,1
4710162000096,100203,5,2,0
20566609,320403,1,2,0
4710105002019,130102,5,1,0
4710549000480,110109,7,2,0
4710314412173,530205,7,0,1
4711629910644,730145,1,2,0
4711821100140,590206,5,4,0
4902704244574,712901,7,5,0
4710736320049,110511,4,2,0
